,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
46,"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,1,False,True,True
47,"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,1,False,True,True
48,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
49,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,3,False,True,True
50,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
51,"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,4,False,True,True
52,"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,4,False,True,True
53,"Jernbanegade 6 03, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
54,"Jernbanegade 6 1 TH, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
55,"Jernbanegade 6 1 TV, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
56,"Jernbanegade 6 2 TH, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
57,"Jernbanegade 6 2 TV, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
58,"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
59,"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
60,"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
61,"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
