,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
45,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
46,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,22,False,True,True
47,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,22,False,True,False
48,"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
49,"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,1,False,True,True
50,"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,1,False,True,True
51,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
52,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,3,False,True,True
53,"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
54,"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,4,False,True,True
55,"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,4,False,True,True
56,"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
57,"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
58,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,False,True,True
59,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,False,True,True
60,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,17,False,True,True
61,"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,19,True,True,False
62,"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,19,True,True,False
63,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
64,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True
65,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
66,"Jernbanegade 23, 6000, Kolding, Danmark",55.4901523,9.4771024,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,23,False,True,True
67,"Jernbanegade 23, 6000, Kolding, Danmark",55.4901523,9.4771024,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,23,False,True,True
68,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
69,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,24,False,True,True
70,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,24,False,True,True
71,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
72,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
73,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,24,False,True,True
74,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
75,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,32,False,True,True
76,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,32,False,True,True
77,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,32,False,True,True
78,"Klostergade 2, 6000, Kolding, Danmark",55.4889549,9.4755318,Klostergade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,2,False,True,False
79,"Klostergade 3, 6000, Kolding, Danmark",55.489207,9.475278,Klostergade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,3,False,True,True
80,"Klostergade 3, 6000, Kolding, Danmark",55.489207,9.475278,Klostergade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,3,False,True,True
81,"Klostergade 5, 6000, Kolding, Danmark",55.48920589999999,9.4754346,Klostergade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,5,False,True,False
82,"Klostergade 6, 6000, Kolding, Danmark",55.489021,9.4758041,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,660,False,6,False,True,False
83,"Klostergade 6, 6000, Kolding, Danmark",55.489021,9.4758041,Klostergade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,140,False,6,False,True,False
84,"Klostergade 12, 6000, Kolding, Danmark",55.4890233,9.4760534,Klostergade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,130,True,12,False,True,True
85,"Klostergade 12, 6000, Kolding, Danmark",55.4890233,9.4760534,Klostergade ,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,90,True,12,False,True,True
86,"Klostergade 14, 6000, Kolding, Danmark",55.4889928,9.476167,Klostergade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,14,False,True,False
87,"Klostergade 14, 6000, Kolding, Danmark",55.4889928,9.476167,Klostergade ,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,90,True,14,False,True,False
